"price","airline","Origin","Destination","DepartureDate","ReturnDate","ScrapeDate","nbr_trials","Journey","TravelDates","DaysBeforeDeparture"
6123,NA,"BER","BKK",2019-01-31,2019-02-05,2019-01-16,1,"BER-BKK","2019-01-31-2019-02-05",15
6119,NA,"BER","BKK",2019-01-31,2019-02-05,2019-01-17,1,"BER-BKK","2019-01-31-2019-02-05",14
6143,NA,"BER","BKK",2019-01-31,2019-02-05,2019-01-20,1,"BER-BKK","2019-01-31-2019-02-05",11
6143,NA,"BER","BKK",2019-01-31,2019-02-05,2019-01-21,1,"BER-BKK","2019-01-31-2019-02-05",10
6117,NA,"BER","BKK",2019-01-31,2019-02-05,2019-01-24,1,"BER-BKK","2019-01-31-2019-02-05",7
6375,NA,"BER","BKK",2019-01-31,2019-02-06,2019-01-17,1,"BER-BKK","2019-01-31-2019-02-06",14
6399,NA,"BER","BKK",2019-01-31,2019-02-06,2019-01-20,1,"BER-BKK","2019-01-31-2019-02-06",11
6399,NA,"BER","BKK",2019-01-31,2019-02-06,2019-01-21,1,"BER-BKK","2019-01-31-2019-02-06",10
6105,NA,"BER","BKK",2019-01-31,2019-02-06,2019-01-24,1,"BER-BKK","2019-01-31-2019-02-06",7
6399,NA,"BER","BKK",2019-01-31,2019-02-07,2019-01-20,1,"BER-BKK","2019-01-31-2019-02-07",11
6399,NA,"BER","BKK",2019-01-31,2019-02-07,2019-01-21,1,"BER-BKK","2019-01-31-2019-02-07",10
6389,NA,"BER","BKK",2019-01-31,2019-02-07,2019-01-24,1,"BER-BKK","2019-01-31-2019-02-07",7
7093,NA,"BER","BKK",2019-02-01,2019-02-06,2019-01-17,1,"BER-BKK","2019-02-01-2019-02-06",15
7119,NA,"BER","BKK",2019-02-01,2019-02-06,2019-01-20,1,"BER-BKK","2019-02-01-2019-02-06",12
7581,NA,"BER","BKK",2019-02-01,2019-02-06,2019-01-21,1,"BER-BKK","2019-02-01-2019-02-06",11
7137,NA,"BER","BKK",2019-02-01,2019-02-06,2019-01-24,1,"BER-BKK","2019-02-01-2019-02-06",8
7108,NA,"BER","BKK",2019-02-01,2019-02-06,2019-01-25,1,"BER-BKK","2019-02-01-2019-02-06",7
6997,NA,"BER","BKK",2019-02-01,2019-02-07,2019-01-20,1,"BER-BKK","2019-02-01-2019-02-07",12
7133,NA,"BER","BKK",2019-02-01,2019-02-07,2019-01-21,1,"BER-BKK","2019-02-01-2019-02-07",11
7416,NA,"BER","BKK",2019-02-01,2019-02-07,2019-01-24,1,"BER-BKK","2019-02-01-2019-02-07",8
7108,NA,"BER","BKK",2019-02-01,2019-02-07,2019-01-25,1,"BER-BKK","2019-02-01-2019-02-07",7
7119,NA,"BER","BKK",2019-02-01,2019-02-08,2019-01-20,1,"BER-BKK","2019-02-01-2019-02-08",12
7200,NA,"BER","BKK",2019-02-01,2019-02-08,2019-01-21,1,"BER-BKK","2019-02-01-2019-02-08",11
7511,NA,"BER","BKK",2019-02-01,2019-02-08,2019-01-24,1,"BER-BKK","2019-02-01-2019-02-08",8
7108,NA,"BER","BKK",2019-02-01,2019-02-08,2019-01-25,2,"BER-BKK","2019-02-01-2019-02-08",7
7119,NA,"BER","BKK",2019-02-02,2019-02-07,2019-01-20,1,"BER-BKK","2019-02-02-2019-02-07",13
7119,NA,"BER","BKK",2019-02-02,2019-02-07,2019-01-21,1,"BER-BKK","2019-02-02-2019-02-07",12
7107,NA,"BER","BKK",2019-02-02,2019-02-07,2019-01-24,1,"BER-BKK","2019-02-02-2019-02-07",9
7108,NA,"BER","BKK",2019-02-02,2019-02-07,2019-01-25,1,"BER-BKK","2019-02-02-2019-02-07",8
6401,NA,"BER","BKK",2019-02-02,2019-02-07,2019-01-26,1,"BER-BKK","2019-02-02-2019-02-07",7
7119,NA,"BER","BKK",2019-02-02,2019-02-08,2019-01-20,1,"BER-BKK","2019-02-02-2019-02-08",13
7119,NA,"BER","BKK",2019-02-02,2019-02-08,2019-01-21,1,"BER-BKK","2019-02-02-2019-02-08",12
7107,NA,"BER","BKK",2019-02-02,2019-02-08,2019-01-24,1,"BER-BKK","2019-02-02-2019-02-08",9
6562,NA,"BER","BKK",2019-02-02,2019-02-08,2019-01-25,1,"BER-BKK","2019-02-02-2019-02-08",8
6401,NA,"BER","BKK",2019-02-02,2019-02-08,2019-01-26,1,"BER-BKK","2019-02-02-2019-02-08",7
7088,NA,"BER","BKK",2019-02-02,2019-02-09,2019-01-20,1,"BER-BKK","2019-02-02-2019-02-09",13
6831,NA,"BER","BKK",2019-02-02,2019-02-09,2019-01-21,1,"BER-BKK","2019-02-02-2019-02-09",12
6818,NA,"BER","BKK",2019-02-02,2019-02-09,2019-01-24,1,"BER-BKK","2019-02-02-2019-02-09",9
6562,NA,"BER","BKK",2019-02-02,2019-02-09,2019-01-25,1,"BER-BKK","2019-02-02-2019-02-09",8
